Word,Degree (norm),Degree (raw),Betweenness,Closeness
product,0.297515,850,0.037666,0.574502
customer,0.264963,757,0.025363,0.561849
cisco,0.145257,415,0.025003,0.528878
technology,0.153308,438,0.022588,0.523836
financial,0.20546,587,0.022081,0.543362
security,0.174309,498,0.017418,0.531535
based,0.179559,513,0.017047,0.533122
employee,0.121456,347,0.016195,0.51589
market,0.19251,550,0.013954,0.534318
service,0.215611,616,0.013804,0.549634
value,0.155058,443,0.013274,0.522303
risk,0.148757,425,0.013021,0.518512
company,0.125306,358,0.01261,0.515053
offering,0.074904,214,0.012155,0.486463
business,0.182709,522,0.012005,0.532426
